Clase, Area, Anchura
ajo,81856.5,350.233
ajo,81847.5,350.66
ajo,81727.5,350.529
ajo,82423.5,350.636
ajo,81491.5,350.236
ajo,81260.5,349.303
ajo,81243.5,349.77
ajo,81203,350.006
ajo,81121.5,349.331
ajo,81532,350.194
ajo,81163,350.035
ajo,78371,353.12
ajo,81165,349.246
ajo,78368,328.556
ajo,77530,324.579
ajo,76844.5,317.651
ajo,76471,324.751
ajo,76245.5,334.102
ajo,76206.5,327.938
ajo,76635.5,346.292
ajo,77442,350.745
ajo,78001,353.728
ajo,82471,351.067
ajo,78389.5,354.775
ajo,79078,356.148
ajo,79647,355.448
ajo,80341.5,355.064
ajo,81303.5,351.837
ajo,81345.5,350.301
ajo,81004.5,350.968
ajo,80646,352.196
ajo,80218.5,352.879
ajo,82525,352.514
ajo,79643,353.895
ajo,78820,354.209
ajo,76821.5,354.48
ajo,76005,353.321
ajo,75440.5,352.678
ajo,75017,351.443
ajo,74725.5,349.818
ajo,74742,347.686
ajo,74669,347.062
ajo,82304.5,352.976
ajo,73975,341.045
ajo,73546.5,322.374
ajo,72933,318.222
ajo,72394.5,318.755
ajo,72219,322.203
ajo,72223.5,326.405
ajo,72675,333.146
ajo,73003,339.077
ajo,73133,344.627
ajo,81744.5,353.32
ajo,73121.5,348.119
ajo,72817.5,350.645
ajo,72475.5,351.208
ajo,72446,351.627
ajo,72355.5,353.014
ajo,72954,353.676
ajo,75441,354.772
ajo,76658.5,354.796
ajo,77907,352.958
ajo,81208,353.338
ajo,79093,351.94
ajo,80086,350.935
ajo,80836.5,351.622
ajo,80585.5,348.006
ajo,81870,347.81
ajo,80166.5,344.428
ajo,80370,330.878
ajo,80595.5,332.105
ajo,80632.5,340.393
ajo,80683.5,337.214
ajo,80522,341.007
ajo,80127,340.35
ajo,79177,333.831
lima,46535.5,203.211
lima,45236.5,200.184
lima,45619.5,200.882
lima,45674,200.958
lima,49401.5,215.886
lima,45153,200.507
lima,45416,200.86
lima,45122,199.941
lima,45151,200.536
lima,44801.5,199.836
lima,46353.5,201.913
lima,45079,199.939
lima,47112.5,200.896
lima,44578,199.851
lima,50271.5,221.999
lima,50744.5,220.978
lima,51211,220.282
lima,51789,218.896
lima,52176,218.312
lima,52484.5,217.601
lima,52330,215.939
lima,51815,214.733
lima,51549.5,213.111
lima,44393.5,200.506
lima,51373,211.895
lima,51172,210.584
lima,50888.5,208.811
lima,50556,206.34
lima,50500.5,206.009
lima,50039,205.13
lima,49942.5,209.305
lima,49347,209.244
lima,48998,212.028
lima,44557,201.407
lima,47932.5,214.715
lima,47252.5,215.752
lima,46589,208.119
lima,46161,207.793
lima,45758.5,209.556
lima,45202.5,209.91
lima,44735.5,211
lima,44281,209.576
lima,43847,213.152
lima,44432,202.794
lima,44026.5,212.091
lima,44262.5,211.006
lima,44632.5,210.626
lima,45188.5,209.477
lima,45151.5,207.981
lima,45820.5,206.038
lima,46045.5,205
